id,ct0_re,ct0_im
562,+7.99758e-3,+4.95835e-3
563,+1.10921e-2,+6.87693e-3
564,+1.46848e-2,+9.10430e-3
565,+1.88414e-2,+1.16813e-2
566,+2.36622e-2,+1.46701e-2
567,+2.93051e-2,+1.81686e-2
568,+3.60295e-2,+2.23376e-2
569,+4.42824e-2,+2.74543e-2
570,+5.48881e-2,+3.40297e-2
571,+6.95217e-2,+4.31022e-2
572,+9.21264e-2,+5.71167e-2
573,+1.34583e-1,+8.34393e-2
574,+2.56389e-1,+1.58956e-1
575,-1.31089e-3,-8.12731e-4
576,-2.39402e-3,-1.48425e-3
577,-3.20031e-3,-1.98414e-3
578,-3.68421e-3,-2.28414e-3
579,-3.80369e-3,-2.35822e-3
580,-3.52029e-3,-2.18251e-3
581,-2.79884e-3,-1.73523e-3
582,-1.60716e-3,-9.96408e-4
583,+8.46990e-5,+5.25118e-5
584,+2.30546e-3,+1.42934e-3
585,+5.08423e-3,+3.15213e-3
586,+8.45283e-3,+5.24060e-3
587,+1.24493e-2,+7.71831e-3
588,+1.71228e-2,+1.06159e-2
589,+2.25423e-2,+1.39758e-2
590,+2.88080e-2,+1.78604e-2
591,+3.60733e-2,+2.23648e-2
592,+4.45800e-2,+2.76388e-2
593,+5.47256e-2,+3.39289e-2
594,+6.71950e-2,+4.16597e-2
595,+8.32523e-2,+5.16149e-2
596,+1.05466e-1,+6.53870e-2
597,+1.39885e-1,+8.67262e-2
598,+2.04740e-1,+1.26935e-1
599,+3.91333e-1,+2.42619e-1
600,-2.59496e-3,-1.60883e-3
601,-4.71886e-3,-2.92561e-3
602,-6.27652e-3,-3.89133e-3
603,-7.17955e-3,-4.45119e-3
604,-7.34650e-3,-4.55470e-3
605,-6.70284e-3,-4.15564e-3
606,-5.18052e-3,-3.21183e-3
607,-2.71717e-3,-1.68460e-3
608,+7.45274e-4,+4.62056e-4
609,+5.26277e-3,+3.26282e-3
610,+1.08924e-2,+6.75308e-3
611,+1.76971e-2,+1.09718e-2
612,+2.57527e-2,+1.59662e-2
613,+3.51586e-2,+2.17977e-2
614,+4.60539e-2,+2.85526e-2
615,+5.86430e-2,+3.63576e-2
616,+7.32380e-2,+4.54062e-2
617,+9.03324e-2,+5.60044e-2
618,+1.10737e-1,+6.86548e-2
619,+1.35850e-1,+8.42245e-2
620,+1.68252e-1,+1.04313e-1
621,+2.13187e-1,+1.32172e-1
622,+2.83010e-1,+1.75461e-1
623,+4.14959e-1,+2.57267e-1
624,+7.95564e-1,+4.93235e-1
