0_5_re,integrand_re,0_2_im,0_4_re,0_0_re,rescaled_integrand_re,rescaled_integrand_im,0_5_im,0_3_re,0_1_im,deform_jac_im,0_3_im,0_0_im,param_jac,0_1_re,integrand_im,deform_jac_re,0_4_im,0_2_re
0.0,-0.5943632502399798,0.0,0.0,78.23301150971871,-2.4655328829133137e-06,-4.5118722029169845e-09,0.0,0.0,172.33897332385266,-1.9532383909387217e-08,0.0,-172.3389757893857,1.3813925788575023e+24,-78.233010390548,-0.26979726625905853,0.9999999999999999,0.0,0.0
0.0,-0.5943681592488252,0.0,0.0,55.19178288336452,-3.4948295265297595e-06,-6.395452995005121e-09,0.0,0.0,121.58174382550007,-2.7686648175549195e-08,0.0,-121.58174732032955,3.4218427976505504e+23,-55.19178129697096,-0.269799074797407,0.9999999999999998,0.0,0.0
0.0,-0.5943750600297837,0.0,0.0,38.93665158857716,-4.953830815101484e-06,-9.065373221476516e-09,0.0,0.0,85.77352109913434,-3.9245105721973154e-08,0.0,-85.7735260529651,8.476263858197758e+22,-38.936649339909316,-0.2698017122954215,0.9999999999999997,0.0,0.0
0.0,-0.5943848414438875,0.0,0.0,27.468977806037888,-7.02192770087278e-06,-1.2849898479143248e-08,0.0,0.0,60.511526815742386,-5.562891790664926e-08,0.0,-60.51153383766992,2.099669678580669e+22,-27.468974618617437,-0.2698054220949694,0.9999999999999991,0.0,0.0
0.0,-0.5943986853506407,0.0,0.0,19.378760656351393,-9.95340176696315e-06,-1.8214331890587206e-08,0.0,0.0,42.689687779459874,-7.885254284310717e-08,0.0,-42.68969773286129,5.20116290067313e+21,-19.378756138281723,-0.2698106923831852,0.9999999999999984,0.0,0.0
0.0,-0.5944182723210847,0.0,0.0,13.6712723921551,-1.4108690327412409e-05,-2.581820787766464e-08,0.0,0.0,30.11673057074653,-1.1177142005728197e-07,0.0,-30.116744679436177,1.288410174831759e+21,-13.67126598794153,-0.26981814252563624,0.9999999999999969,0.0,0.0
0.0,-0.5944459710227049,0.0,0.0,9.644752252639021,-1.9998702778922538e-05,-3.659636380921178e-08,0.0,0.0,21.246754855166866,-1.5843305567258412e-07,0.0,-21.24677485386821,3.191639294722628e+20,-9.644743174900016,-0.2698286765959562,0.9999999999999936,0.0,0.0
0.0,-0.5944850941068364,0.0,0.0,6.804121894205563,-2.8347635318131303e-05,-5.187382743497921e-08,0.0,0.0,14.989158144012105,-2.245746737351497e-07,0.0,-14.989186491644531,7.906457113522766e+19,-6.804109026885225,-0.2698435431710336,0.9999999999999875,0.0,0.0
0.0,-0.594540273248771,0.0,0.0,4.800113332541932,-4.018200337647953e-05,-7.352862521560878e-08,0.0,0.0,10.574541425758909,-3.183286183750539e-07,0.0,-10.574581607756485,1.9586733979843408e+19,-4.800095093737961,-0.26986449106598753,0.9999999999999747,0.0,0.0
0.0,-0.5946179331374577,0.0,0.0,3.3863249093733856,-5.6956823137456296e-05,-1.0422244761110339e-07,0.0,0.0,7.460108177134616,-4.512222316271021e-07,0.0,-7.460165133946089,4.852428256089175e+18,-3.386299056947312,-0.2698939307197256,0.999999999999949,0.0,0.0
0.0,-0.5947268975275684,0.0,0.0,2.388925125889215,-8.073441438434108e-05,-1.4772736668041417e-07,0.0,0.0,5.262925145630629,-6.39595131264803e-07,0.0,-5.26300588002158,1.2022099124232292e+18,-2.3888884820327316,-0.2699351513245274,0.9999999999998976,0.0,0.0
0.0,-0.5948791074777812,0.0,0.0,1.6852792961380783,-0.00011443768619417997,-2.0938836161417354e-07,0.0,0.0,3.7128390237619455,-9.066081190116921e-07,0.0,-3.7129534614010535,2.978760710755859e+17,-1.6852273572065364,-0.2699925570600607,0.9999999999997945,0.0,0.0
0.0,-0.5950903483638719,0.0,0.0,1.1888710735333496,-0.00016220869295105334,-2.9677749520980583e-07,0.0,0.0,2.6192599136886656,-1.2850906625985848e-06,0.0,-2.6194221222870144,7.381409440176163e+16,-1.188797457603864,-0.2700718702358742,0.9999999999995871,0.0,0.0
0.0,-0.5953807002506871,0.0,0.0,0.8386648858884918,-0.0002299155291418937,-4.206175573351742e-07,0.0,0.0,1.8477274642204013,-1.8215769402930084e-06,0.0,-1.8479573795594864,1.8294119280196612e+16,-0.8385605511948061,-0.2701801564550095,0.9999999999991703,0.0,0.0
0.0,-0.5957740044706084,0.0,0.0,0.5916013436279426,-0.0003258669755041681,-5.96081894264647e-07,0.0,0.0,1.303378386692949,-2.5820264525829995e-06,0.0,-1.3037042532866785,4535036689241786.0,-0.5914534845454477,-0.2703253260282939,0.9999999999983332,0.0,0.0
0.0,-0.5962947460840744,0.0,0.0,0.4173028986339461,-0.0004618144501663245,-8.446119960226845e-07,0.0,0.0,0.9192826164618408,-3.659932083651808e-06,0.0,-0.919744430145224,1124572904749856.8,-0.4170933907578495,-0.27051435457030776,0.9999999999966512,0.0,0.0
